lat,lon,id1,main,description,icon,temp,pressure,humidity,temp_min,temp_max,visibility,speed,deg,clouds,dt,typ,id2,message,country,sunrise,sunset,idn,name
28.550                                            ,77.051                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,297.73                                            ,1017                                              ,44                                                ,297.15                                            ,298.71                                            ,2500                                              ,3.6                                               ,280                                               ,0                                                 ,1552887008                                        ,1                                                 ,9165                                              ,0.0078                                            ,IN                                                ,1552870727                                        ,1552914081                                        ,1257567                                           ,Samālkha                                          
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,292.69                                            ,1022                                              ,48                                                ,289.15                                            ,296.15                                            ,7000                                              ,1.5                                               ,270                                               ,0                                                 ,1552885200                                        ,1                                                 ,9181                                              ,0.0067                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,292.7                                             ,1022                                              ,48                                                ,289.15                                            ,296.15                                            ,7000                                              ,1.5                                               ,270                                               ,0                                                 ,1552885200                                        ,1                                                 ,9181                                              ,0.007                                             ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
28.541                                            ,77.034                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,297.73                                            ,1017                                              ,44                                                ,297.15                                            ,298.71                                            ,2500                                              ,3.6                                               ,280                                               ,0                                                 ,1552887008                                        ,1                                                 ,9165                                              ,0.0057                                            ,IN                                                ,1552870731                                        ,1552914086                                        ,1257567                                           ,Samālkha                                          
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,292.7                                             ,1022                                              ,48                                                ,289.15                                            ,296.15                                            ,7000                                              ,1.5                                               ,270                                               ,0                                                 ,1552885200                                        ,1                                                 ,9181                                              ,0.007                                             ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,292.7                                             ,1022                                              ,48                                                ,289.15                                            ,296.15                                            ,7000                                              ,1.5                                               ,270                                               ,0                                                 ,1552885200                                        ,1                                                 ,9181                                              ,0.007                                             ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
28.535                                            ,77.031                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,297.72                                            ,1017                                              ,41                                                ,297.15                                            ,298.71                                            ,3500                                              ,3.1                                               ,290                                               ,0                                                 ,1552888807                                        ,1                                                 ,9165                                              ,0.0059                                            ,IN                                                ,1552870731                                        ,1552914086                                        ,1257567                                           ,Samālkha                                          
28.527                                            ,77.028                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,297.71                                            ,1017                                              ,41                                                ,297.15                                            ,298.71                                            ,3500                                              ,3.1                                               ,290                                               ,0                                                 ,1552888807                                        ,1                                                 ,9165                                              ,0.0046                                            ,IN                                                ,1552870731                                        ,1552914086                                        ,1257567                                           ,Samālkha                                          
28.520                                            ,77.027                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,297.69                                            ,1017                                              ,41                                                ,297.15                                            ,298.71                                            ,3500                                              ,3.1                                               ,290                                               ,0                                                 ,1552889708                                        ,1                                                 ,9165                                              ,0.0059                                            ,IN                                                ,1552870731                                        ,1552914086                                        ,1257567                                           ,Samālkha                                          
28.514                                            ,77.026                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.36                                            ,1017                                              ,41                                                ,297.15                                            ,299.15                                            ,3500                                              ,3.1                                               ,290                                               ,0                                                 ,1552889708                                        ,1                                                 ,9165                                              ,0.0077                                            ,IN                                                ,1552870731                                        ,1552914086                                        ,1270642                                           ,Gurgaon                                           
28.507                                            ,77.024                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.36                                            ,1017                                              ,41                                                ,297.15                                            ,299.15                                            ,3500                                              ,3.1                                               ,290                                               ,0                                                 ,1552889708                                        ,1                                                 ,9165                                              ,0.0051                                            ,IN                                                ,1552870734                                        ,1552914088                                        ,1270642                                           ,Gurgaon                                           
28.500                                            ,77.022                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,298.35                                            ,1017                                              ,41                                                ,297.15                                            ,299.15                                            ,3500                                              ,3.1                                               ,290                                               ,0                                                 ,1552891507                                        ,1                                                 ,9165                                              ,0.0056                                            ,IN                                                ,1552870733                                        ,1552914088                                        ,1270642                                           ,Gurgaon                                           
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,292.6                                             ,1017                                              ,47                                                ,289.15                                            ,298.15                                            ,5000                                              ,1.92                                              ,202.503                                           ,20                                                ,1552887000                                        ,1                                                 ,9159                                              ,0.0072                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,292.6                                             ,1017                                              ,47                                                ,289.15                                            ,298.15                                            ,5000                                              ,1.92                                              ,202.503                                           ,20                                                ,1552887000                                        ,1                                                 ,9159                                              ,0.0072                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,292.5                                             ,1017                                              ,47                                                ,289.15                                            ,298.15                                            ,5000                                              ,1.92                                              ,202.503                                           ,20                                                ,1552887000                                        ,1                                                 ,9159                                              ,0.0085                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
30.723                                            ,76.789                                            ,721                                               ,Haze                                              ,haze                                              ,50d                                               ,294.69                                            ,1021                                              ,42                                                ,291.15                                            ,298.15                                            ,7000                                              ,1.5                                               ,290                                               ,0                                                 ,1552888800                                        ,1                                                 ,9181                                              ,0.0046                                            ,IN                                                ,1552870798                                        ,1552914134                                        ,1274746                                           ,Chandigarh                                        
